feature,importance,fold
purchase_amount_max,279548.021495942,1
most_common_dow,97390.22485733032,1
month_nunique,669287.1883966923,1
feature_2,125991.96463060379,1
amount_trend,547885.0886154175,1
feature_1,110230.11108112335,1
recent_purchase_ratio,1180067.8518038988,1
seasonal_amount_ratio,67626.52387428284,1
most_common_lag,427247.06273293495,1
purchase_amount_sum,394386.539896667,1
weekend_ratio,283223.69925653934,1
purchase_amount_mean,424155.203751564,1
evening_ratio,326481.815002203,1
lag_entropy,1007827.188387394,1
installments_mean,820230.5643061101,1
purchase_count,520939.26477628946,1
most_common_hour,167979.47203326225,1
merchant_nunique,298840.55617284775,1
feature_3,66975.16455435753,1
night_ratio,348078.4055645466,1
purchase_amount_range,278917.8473890126,1
holiday_ratio,245655.46788096428,1
installments_max,200784.78770589828,1
recent_amount_ratio,32989.69800615311,1
seasonal_count_ratio,1172059.0027720928,1
afternoon_ratio,314840.2496931255,1
morning_ratio,411215.0417353511,1
weekday_ratio,229440.59651426226,1
purchase_amount_min,543979.5534073412,1
purchase_amount_max,327929.8951767683,2
most_common_dow,129271.62739372253,2
month_nunique,716162.248005867,2
feature_2,119042.99061346054,2
amount_trend,620577.0088072224,2
feature_1,129396.83720517159,2
recent_purchase_ratio,1253979.241031792,2
seasonal_amount_ratio,63432.80990481377,2
most_common_lag,405688.29034638405,2
purchase_amount_sum,431555.16172903776,2
weekend_ratio,338186.6769937277,2
purchase_amount_mean,467168.8144774437,2
evening_ratio,395638.6667391062,2
lag_entropy,1126584.8991358876,2
installments_mean,870967.6229984164,2
purchase_count,564910.5891529918,2
most_common_hour,197811.5025883913,2
merchant_nunique,331592.3175588399,2
feature_3,68992.33837413788,2
night_ratio,401458.31333851814,2
purchase_amount_range,323077.14225304127,2
holiday_ratio,243518.63335680962,2
installments_max,240379.06167772412,2
recent_amount_ratio,31729.174424648285,2
seasonal_count_ratio,1295529.7249358296,2
afternoon_ratio,423015.6268558651,2
morning_ratio,456720.06839337945,2
weekday_ratio,272942.8307762742,2
purchase_amount_min,498366.3160984814,2
purchase_amount_max,319207.46626889706,3
most_common_dow,128335.92430591583,3
month_nunique,680430.771074295,3
feature_2,95165.84878075123,3
amount_trend,611695.3702210188,3
feature_1,116265.91024112701,3
recent_purchase_ratio,1059699.2587270439,3
seasonal_amount_ratio,59100.36049365997,3
most_common_lag,439684.9942589998,3
purchase_amount_sum,370794.1811248213,3
weekend_ratio,309005.9497702718,3
purchase_amount_mean,447490.67913484573,3
evening_ratio,341222.8626089096,3
lag_entropy,1156952.4931168556,3
installments_mean,784845.3054534197,3
purchase_count,581816.6336382031,3
most_common_hour,183723.73111605644,3
merchant_nunique,313423.13957470655,3
feature_3,61604.94555568695,3
night_ratio,423841.9861390069,3
purchase_amount_range,314809.48225587606,3
holiday_ratio,246887.07525730133,3
installments_max,216973.89709925652,3
recent_amount_ratio,23989.5830411911,3
seasonal_count_ratio,1247055.681693323,3
afternoon_ratio,387780.95392405987,3
morning_ratio,431628.79670131207,3
weekday_ratio,275641.270385623,3
purchase_amount_min,528311.5891577601,3
purchase_amount_max,317468.29103922844,4
most_common_dow,131062.91367402673,4
month_nunique,718765.0953527689,4
feature_2,120432.94061416388,4
amount_trend,669896.6626697481,4
feature_1,122094.46896719933,4
recent_purchase_ratio,1223943.2896851897,4
seasonal_amount_ratio,101118.72456645966,4
most_common_lag,454503.56347984076,4
purchase_amount_sum,413772.3821207285,4
weekend_ratio,396266.55241560936,4
purchase_amount_mean,487603.581701234,4
evening_ratio,392704.889603734,4
lag_entropy,1140905.487047106,4
installments_mean,859294.3365335464,4
purchase_count,552955.7294618711,4
most_common_hour,192756.51156395674,4
merchant_nunique,286934.3676954806,4
feature_3,68159.74681091309,4
night_ratio,404326.16251660883,4
purchase_amount_range,312765.5388119221,4
holiday_ratio,245144.16900494695,4
installments_max,222914.14380577207,4
recent_amount_ratio,37084.70555686951,4
seasonal_count_ratio,1348326.5382671952,4
afternoon_ratio,392811.9494140446,4
morning_ratio,476367.05949920416,4
weekday_ratio,303350.2861981392,4
purchase_amount_min,595528.5547814369,4
purchase_amount_max,358137.6864435673,5
most_common_dow,130817.96893548965,5
month_nunique,736961.6542164087,5
feature_2,126724.50887918472,5
amount_trend,694358.8828700781,5
feature_1,122761.70445585251,5
recent_purchase_ratio,1249344.7648313046,5
seasonal_amount_ratio,87584.83834934235,5
most_common_lag,467201.35165917873,5
purchase_amount_sum,431679.2116174698,5
weekend_ratio,337703.7751507759,5
purchase_amount_mean,477128.2805118561,5
evening_ratio,423295.20711666346,5
lag_entropy,1264649.0024567544,5
installments_mean,873298.0640193969,5
purchase_count,593752.9359510541,5
most_common_hour,194011.2034289837,5
merchant_nunique,322781.9921244979,5
feature_3,71219.7351474762,5
night_ratio,471960.9941149056,5
purchase_amount_range,320098.07177215815,5
holiday_ratio,274344.15278196335,5
installments_max,235817.85216641426,5
recent_amount_ratio,43316.57902956009,5
seasonal_count_ratio,1271396.8561179638,5
afternoon_ratio,414801.99606251717,5
morning_ratio,452832.70927643776,5
weekday_ratio,290541.7063713074,5
purchase_amount_min,583149.041408658,5
