feature,importance
month_nunique,0.05472119
seasonal_count_ratio,0.05414787
card_age_days,0.04907805
lag_entropy,0.041132085
installments_max,0.039575562
most_common_lag,0.03800967
installments_mean,0.037061926
recent_purchase_ratio,0.03674075
purchase_amount_sum,0.034417577
amount_trend,0.033943374
night_ratio,0.03383768
holiday_ratio,0.033060294
weekend_ratio,0.032035664
purchase_amount_max,0.031840347
purchase_amount_min,0.031684075
purchase_count,0.03137744
morning_ratio,0.03122117
purchase_amount_mean,0.029944008
afternoon_ratio,0.029838508
evening_ratio,0.029630212
merchant_nunique,0.029391568
feature_1,0.028977819
weekday_ratio,0.028633986
feature_3,0.027886564
feature_2,0.027021395
purchase_amount_range,0.026560875
most_common_hour,0.025808558
seasonal_amount_ratio,0.02576157
most_common_dow,0.025292832
recent_amount_ratio,0.021367544
